path	sha256	structural_check	lines	semantic_scope
cpp/python_implementations/core_implementations/universal_brain_simulator/client.py	2fcf442e992637796d036c03c4949cdcbee1312d11e80cf566323e0be4db5611	Python AST parsed	408	structural inventory only
cpp/python_implementations/core_implementations/universal_brain_simulator/config.py	ef6ed5a67ab45e9d14c0eb502244b57fe7b8c9a95f42e157e239d686a5b905d8	Python AST parsed	139	structural inventory only
cpp/python_implementations/core_implementations/universal_brain_simulator/cuda_manager.py	5be58378d63ca3602010d130562e6982d7b390f9aed517ae27e8372f6f971605	Python AST parsed	237	structural inventory only
cpp/python_implementations/core_implementations/universal_brain_simulator/cuda_signatures.py	d64eb6187bdde94fd248220f4308016c04507b7ce959d53d7a62780018695bde	Python AST parsed	299	structural inventory only
cpp/python_implementations/core_implementations/universal_brain_simulator/examples/README.md	2a103b27a93e835170df8c50f10c6e8e28119ca40329706911b489dee5d1ec40	bytes hashed	169	structural inventory only
cpp/python_implementations/core_implementations/universal_brain_simulator/examples/advanced_example.py	0685c96c35e9c306fb45fac1c8ddff40e3b49027a0b87e2d08320d85784d992b	Python AST parsed	155	structural inventory only
cpp/python_implementations/core_implementations/universal_brain_simulator/examples/benchmark_example.py	b00c72137d09998915176f0a966f6b7434e311aac86530ae383ff795503b6c5d	Python AST parsed	75	structural inventory only
cpp/python_implementations/core_implementations/universal_brain_simulator/examples/performance_comparison.py	a2a48a151efcbe748841b67180ae06e938cc26d5e7f7f9569149daa7decb4dea	Python AST parsed	222	structural inventory only
cpp/python_implementations/core_implementations/universal_brain_simulator/examples/profiling_example.py	f935085ba5ea8b445a290bca672fec6cc6c07b4928361b6c15e43ea5eba97fa7	Python AST parsed	67	structural inventory only
cpp/python_implementations/core_implementations/universal_brain_simulator/examples/quick_start.py	78bc94ef1aa715c0b73457310f799a8d6e6cd7a7ffcbda4ed651fe4564dcff6d	Python AST parsed	43	structural inventory only
cpp/python_implementations/core_implementations/universal_brain_simulator/examples/scaling_example.py	4213b642e01710ae640d71ede75f761d6a76b7e82cb77e0e60439fefad83917c	Python AST parsed	141	structural inventory only
cpp/python_implementations/core_implementations/universal_brain_simulator/memory_manager.py	830dc650fb49011497b3d38755a04a5da7a746b4a6284a431385da2a6fcdeaf0	Python AST parsed	270	structural inventory only
cpp/python_implementations/core_implementations/universal_brain_simulator/metrics.py	e71c981213406a646815026c6334f93f5251b3a6a23a4b90ce11bc4824b53ad4	Python AST parsed	210	structural inventory only
cpp/python_implementations/core_implementations/universal_brain_simulator/monolithic_old/universal_brain_simulator.py	23945e0a376cc102ff226f30b2898e51f1eb7f7c933b998dbcec86fa5b4bdc80	Python AST parsed	767	structural inventory only
cpp/python_implementations/core_implementations/universal_brain_simulator/simulation_commands.py	678f2fa1cc33eff2fe7763fb52be0655888e781b2d97dddbc9bf36cc567ac0bd	Python AST parsed	387	structural inventory only
cpp/python_implementations/core_implementations/universal_brain_simulator/simulation_engine.py	56e6726137512da1cbe51bc66459a375b0ea837e0598e78ea05c6869ffc72243	Python AST parsed	228	structural inventory only
cpp/python_implementations/core_implementations/universal_brain_simulator/universal_brain_simulator.py	f4d10d173149d7b09e6d6122e173ead3ab4642c2ae19832ed94dfd54feaef425	Python AST parsed	273	structural inventory only
cpp/python_implementations/core_implementations/universal_brain_simulator/utils.py	ae80a4375e68b8745f024ec45d0584a59d5bc35fb28fd470dde48643ceb6f390	Python AST parsed	226	structural inventory only
